Date,Open,High,Low,Close,Adj Close,Volume
2016-05-09,70.000000,70.489998,65.410004,68.000000,68.000000,15731
2016-05-16,67.599998,74.000000,67.599998,73.800003,73.800003,26109
2016-05-23,74.199997,78.000000,74.000000,74.000000,74.000000,18481
2016-05-30,74.010002,74.800003,70.000000,74.190002,74.190002,19450
2016-06-06,73.989998,74.300003,72.000000,73.500000,73.500000,12369
2016-06-13,71.599998,73.949997,71.510002,71.800003,71.800003,9426
2016-06-20,72.330002,76.199997,69.750000,75.000000,75.000000,40146
2016-06-27,75.000000,78.000000,74.000000,77.879997,77.879997,18134
2016-07-04,77.480003,86.489998,77.000000,82.000000,82.000000,57662
2016-07-11,82.300003,87.680000,82.300003,86.949997,86.949997,24392
2016-07-18,87.389999,91.989998,83.500000,90.500000,90.500000,35477
2016-07-25,91.000000,96.000000,90.000000,92.440002,92.440002,30528
2016-08-01,92.500000,94.699997,88.410004,92.000000,92.000000,23841
2016-08-08,92.970001,101.949997,92.000000,98.989998,98.989998,26014
2016-08-15,98.989998,104.500000,97.199997,98.500000,98.500000,18978
2016-08-22,98.500000,105.000000,97.550003,103.449997,103.449997,28390
2016-08-29,104.199997,104.199997,95.440002,98.500000,98.500000,55497
2016-09-05,98.489998,125.000000,97.000000,116.400002,116.400002,102540
2016-09-12,116.400002,132.800003,114.150002,124.900002,124.900002,43077
2016-09-19,127.849998,127.849998,116.500000,121.000000,121.000000,29924
2016-09-26,119.000000,130.000000,115.000000,129.000000,129.000000,44754
2016-10-03,130.000000,132.399994,119.000000,124.400002,124.400002,20835
2016-10-10,124.400002,125.500000,118.000000,119.900002,119.900002,22271
2016-10-17,120.000000,121.000000,116.599998,119.400002,119.400002,39419
2016-10-24,119.400002,127.000000,117.500000,123.000000,123.000000,43465
2016-10-31,124.900002,124.900002,118.400002,118.599998,118.599998,5568
2016-11-07,118.599998,123.800003,115.500000,119.300003,119.300003,6311
2016-11-14,119.300003,122.449997,117.750000,121.000000,121.000000,15378
2016-11-21,120.849998,128.699997,118.000000,126.400002,126.400002,21815
2016-11-28,127.599998,136.000000,125.500000,132.800003,132.800003,36405
2016-12-05,134.000000,144.600006,134.000000,137.300003,137.300003,33938
2016-12-12,137.199997,149.000000,136.300003,146.800003,146.800003,27241
2016-12-19,146.649994,148.399994,136.000000,146.500000,146.500000,69878
2016-12-26,146.500000,149.000000,146.199997,146.800003,146.800003,39090
2017-01-02,147.000000,153.000000,145.300003,153.000000,153.000000,15477
2017-01-09,154.000000,154.000000,139.000000,141.000000,141.000000,38821
2017-01-16,142.500000,149.000000,139.500000,142.000000,142.000000,43117
2017-01-23,142.899994,143.550003,135.149994,138.500000,138.500000,55196
2017-01-30,139.699997,153.500000,133.500000,153.000000,153.000000,80226
2017-02-06,155.100006,161.500000,153.000000,160.500000,160.500000,47761
2017-02-13,161.000000,168.000000,155.449997,158.500000,158.500000,34478
2017-02-20,162.800003,197.600006,162.699997,190.000000,190.000000,117874
2017-02-27,190.000000,194.000000,187.000000,187.100006,187.100006,41310
2017-03-06,185.500000,187.000000,174.649994,179.199997,179.199997,35747
2017-03-13,189.899994,189.899994,182.000000,188.000000,188.000000,19938
2017-03-20,188.449997,193.899994,186.000000,188.000000,188.000000,26573
2017-03-27,187.100006,192.949997,185.100006,191.000000,191.000000,28974
2017-04-03,191.800003,214.000000,191.000000,209.000000,209.000000,46998
2017-04-10,211.800003,212.000000,191.550003,193.500000,193.500000,35667
2017-04-17,193.500000,198.399994,186.149994,190.600006,190.600006,24859
2017-04-24,192.000000,192.000000,172.550003,185.000000,185.000000,80906
2017-05-01,185.000000,193.000000,182.100006,189.000000,189.000000,53147
2017-05-08,185.000000,186.000000,163.250000,183.500000,183.500000,68918
2017-05-15,183.500000,197.000000,183.000000,191.899994,191.899994,29383
2017-05-22,192.000000,199.000000,186.600006,188.399994,188.399994,18496
2017-05-29,186.000000,187.600006,178.000000,182.449997,182.449997,26745
2017-06-05,182.399994,189.500000,181.000000,187.399994,187.399994,37025
2017-06-12,187.800003,188.500000,179.750000,183.000000,183.000000,10115
2017-06-19,188.000000,188.000000,159.199997,183.600006,183.600006,38264
2017-06-26,183.000000,185.000000,175.000000,183.000000,183.000000,14582
2017-07-03,183.699997,183.699997,176.000000,176.100006,176.100006,36594
2017-07-10,177.500000,178.600006,170.500000,178.399994,178.399994,12777
2017-07-17,180.000000,183.000000,175.100006,181.899994,181.899994,20433
2017-07-24,182.300003,195.399994,180.000000,195.000000,195.000000,72995
2017-07-31,195.449997,201.000000,186.000000,189.949997,189.949997,23769
2017-08-07,193.300003,193.300003,181.000000,183.199997,183.199997,9428
2017-08-14,182.000000,190.000000,182.000000,189.000000,189.000000,6579
2017-08-21,191.000000,196.750000,187.000000,190.850006,190.850006,22271
2017-08-28,190.850006,213.800003,189.500000,205.000000,205.000000,84116
2017-09-04,205.000000,205.000000,188.050003,195.600006,195.600006,48889
2017-09-11,196.199997,205.550003,182.199997,195.500000,195.500000,49201
2017-09-18,195.000000,197.399994,186.000000,190.000000,190.000000,25891
2017-09-25,190.000000,193.399994,180.000000,193.399994,193.399994,46026
2017-10-02,195.000000,196.000000,188.000000,190.000000,190.000000,15843
2017-10-09,190.000000,190.000000,182.149994,188.000000,188.000000,12252
2017-10-16,188.000000,188.000000,172.500000,175.350006,175.350006,23820
2017-10-23,176.000000,178.000000,160.949997,175.949997,175.949997,40041
2017-10-30,177.899994,179.399994,167.000000,167.800003,167.800003,29350
2017-11-06,167.800003,175.000000,156.649994,166.899994,166.899994,40687
2017-11-13,167.500000,173.000000,153.000000,166.500000,166.500000,29027
2017-11-20,168.949997,182.550003,168.000000,180.449997,180.449997,29543
2017-11-27,182.000000,183.899994,171.000000,174.399994,174.399994,27482
2017-12-04,174.050003,179.899994,170.000000,175.000000,175.000000,7825
2017-12-11,175.000000,177.000000,167.600006,175.800003,175.800003,18740
2017-12-18,177.000000,199.149994,176.899994,189.199997,189.199997,43032
2017-12-25,189.199997,198.000000,187.100006,198.000000,198.000000,20054
2018-01-01,198.000000,203.500000,198.000000,202.000000,202.000000,20979
2018-01-08,202.000000,207.000000,200.000000,205.000000,205.000000,18035
2018-01-15,203.500000,210.000000,191.199997,209.000000,209.000000,33920
2018-01-22,209.500000,215.000000,198.199997,214.000000,214.000000,43683
2018-01-29,215.000000,215.000000,203.500000,211.500000,211.500000,27719
2018-02-05,211.000000,212.500000,191.600006,205.000000,205.000000,44818
2018-02-12,207.500000,214.000000,206.000000,211.000000,211.000000,20337
2018-02-19,212.500000,213.500000,208.000000,212.000000,212.000000,10538
2018-02-26,213.500000,214.000000,203.500000,204.500000,204.500000,25801
2018-03-05,214.000000,225.000000,208.000000,217.500000,217.500000,54914
2018-03-12,219.500000,219.500000,207.000000,210.000000,210.000000,26757
2018-03-19,211.000000,211.000000,196.600006,208.000000,208.000000,14641
2018-03-26,209.000000,212.000000,206.000000,209.000000,209.000000,9598
